day,average_pos_diff
2020-07-26,-0.005184633362547467
2020-07-27,0.01716605104096704
2020-07-28,0.012767024539877317
2020-07-29,0.0018982633863965143
2020-07-30,-0.019792324402606882
2020-07-31,0.00301403342794072
2020-08-01,-0.0015713744075829407
2020-08-02,0.002536742587021915
2020-08-03,0.0035383104125736946
2020-08-04,-0.002617669172932324
2020-08-05,0.014696003074557987
2020-08-06,0.01285353990272025
2020-08-07,0.009062972292191412
2020-08-08,0.00395371669004209
2020-08-09,0.015200932400932388
2020-08-10,0.012055970149253692
2020-08-11,0.012163808755295543
2020-08-12,0.012271404722155948
2020-08-13,-0.0020600649350649347
2020-08-14,0.002549453162149312
2020-08-15,0.023909260991580795
2020-08-16,0.006838187702265372
2020-08-17,0.009814881104576846
2020-08-18,0.004848112006788283
2020-08-19,0.02072536348949918
2020-08-20,0.008485714285714305
2020-08-21,0.02693396226415094
2020-08-22,0.01415392743923917
2020-08-23,-0.027387029831387816
2020-08-24,0.005041359773371113
2020-08-25,0.006344997407983405
2020-08-26,0.007502885624344173
2020-08-27,0.021330406147091092
2020-08-28,0.011968129443491031
2020-08-29,-0.0007058394160584086
2020-08-30,-0.015713681783243658
2020-08-31,-0.022858185001459093
2020-09-01,-0.01586583184257607
2020-09-02,0.008119670542635658
2020-09-03,-0.004891703924490806
2020-09-04,0.005663022508038605
2020-09-05,0.007549460043196547
2020-09-06,0.007854098360655724
2020-09-07,-0.010730881738403666
2020-09-08,-0.0005916149068323
2020-09-09,-0.027512055837563474
2020-09-10,-0.03485210466439135
2020-09-11,-0.0270542813455659
2020-09-12,-0.018590645161290338
2020-09-13,-0.01487761674718196
2020-09-14,-0.013896264367816064
2020-09-15,0.011787158908507213
2020-09-16,-0.0008570250206213865
2020-09-17,-0.008534154777345447
2020-09-18,-0.0024937703141928373
2020-09-19,-0.006298764105319718
2020-09-20,-0.02699491353001021
2020-09-21,-0.011529856386999231
2020-09-22,-0.03954060385216039
2020-09-23,-0.016670553935860113
2020-09-24,0.0007291740517546901
2020-09-25,-0.003162066246056777
2020-09-26,0.0001088286713286623
2020-09-27,0.004289611143354609
2020-09-28,0.012521346057257661
2020-09-29,-0.002031099711445946
2020-09-30,-0.004224883804075783
2020-10-01,0.013382158161277755
2020-10-02,0.02285833257069653
2020-10-03,-0.0008873732074151944
2020-10-04,-0.0007233929520099072
2020-10-05,-0.011105921601334463
2020-10-06,-0.022241691842900396
2020-10-07,0.0028304153793340184
2020-10-08,0.005588191469547412
2020-10-09,0.002760147601476015
2020-10-10,0.003396639511201632
2020-10-11,-0.006303941605839402
2020-10-12,0.008890154834940092
2020-10-13,0.0010187088274044747
2020-10-14,0.016907902554961385
2020-10-15,0.009379806084921442
2020-10-16,0.0060973483472575455
2020-10-17,0.019249452954048125
2020-10-18,0.031250551876379616
2020-10-19,0.015101439790575835
2020-10-20,0.011210526315789483
2020-10-21,-0.00014540887524421166
2020-10-22,0.019861374407582885
2020-10-23,0.016812998592210207
2020-10-24,-0.000680541368743615
2020-10-25,-0.014838734869191796
2020-10-26,0.006235023041474679
2020-10-27,0.0054196985446985455
2020-10-28,0.01773806609547123
2020-10-29,0.018231608320649444
2020-10-30,-0.020919175591028547
2020-10-31,-0.0012118504584998752
2020-11-01,-0.008333642835035578
2020-11-02,0.0029979094076655185
2020-11-03,0.004777818050018129
2020-11-04,-0.00977357723577237
2020-11-05,-0.0016208874132206392
2020-11-06,0.006740920881971457
2020-11-07,0.030888819357530257
2020-11-08,0.03966549295774644
2020-11-09,0.06711585365853663
2020-11-10,0.03229056512248362
2020-11-11,0.023249889722099605
2020-11-12,0.01452874354561098
2020-11-13,-0.0030886594807955094
2020-11-14,0.02951727078891266
2020-11-15,-0.00011508302583025721
2020-11-16,0.011985797523670757
2020-11-17,0.021484883057615502
2020-11-18,0.01878549752435716
2020-11-19,-0.0006426812104151941
2020-11-20,0.02391782246879333
2020-11-21,0.025193749999999987
2020-11-22,0.0032637021716649373
2020-11-23,0.024357889618283484
2020-11-24,0.024408916218293577
2020-11-25,0.02413156512605041
2020-11-26,0.02394401791426741
2020-11-27,0.015285472972972973
2020-11-28,0.0160420972062763
2020-11-29,0.02411508248232525
2020-11-30,0.01686154324828874
2020-12-01,0.023296416127426518
2020-12-02,0.02646670428893904
2020-12-03,0.031264085934333226
2020-12-04,0.008894654498044318
2020-12-05,0.015150860890953782
2020-12-06,0.013901004304160677
2020-12-07,0.015739624505928848
2020-12-08,-0.0007713029136888571
2020-12-09,0.02303659378596089
2020-12-10,0.009009211653813184
2020-12-11,0.008499459751485675
2020-12-12,0.02881772212858149
2020-12-13,0.03958405545927209
2020-12-14,0.03478711484593836
2020-12-15,0.05091192345436699
2020-12-16,0.0392977977977978
2020-12-17,0.013726786192132724
2020-12-18,0.012717181467181479
2020-12-19,-0.0010261958997722085
2020-12-20,-0.004445668809305129
2020-12-21,0.0021904164576016082
2020-12-22,0.02251399300349825
2020-12-23,0.016724535218643612
2020-12-24,0.01708699397071491
2020-12-25,0.024747886241352803
2020-12-26,-0.0032730819245773693
2020-12-27,-0.003862193652069104
2020-12-28,0.02315091036414567
2020-12-29,0.003908792846497772
2020-12-30,-0.034364577114427954
2020-12-31,0.003921242547850645
2021-01-01,-0.006076148267526189
2021-01-02,-0.010343624161073818
2021-01-03,-0.012852088452088455
2021-01-04,0.012881244109330826
2021-01-05,0.0241943224062183
2021-01-06,0.02219136089177891
2021-01-07,0.0019680915111378668
2021-01-08,0.012383667883211656
2021-01-09,0.0019423412929528293
2021-01-10,0.010679155313351497
