day,average_compound
2021-01-09,-0.004660861968549767
2021-01-10,0.006046389645776575
2021-01-11,0.006053070175438603
2021-01-12,-0.003492467532467511
2021-01-13,0.017233160845191886
2021-01-14,0.05324893111638938
2021-01-15,0.029038766184310543
2021-01-16,0.02908135593220325
2021-01-17,0.027881746031745865
2021-01-18,-0.00153023529411764
2021-01-19,0.026595611814345797
2021-01-20,0.042064594463331634
2021-01-21,0.007977530864197573
2021-01-22,0.020740302066772576
2021-01-23,0.012335833783054523
2021-01-24,0.02589030456852775
2021-01-25,0.017495850066934427
2021-01-26,0.021765754633715696
2021-01-27,0.040129825308904896
2021-01-28,0.048300173761945925
2021-01-29,0.03230892772791666
2021-01-30,0.02879110629067237
2021-01-31,0.010061965574680773
2021-02-01,0.030285197368420988
2021-02-02,0.03279153409090901
2021-02-03,0.045957953936796934
2021-02-04,0.04176637884511586
2021-02-05,0.0638724463069667
2021-02-06,0.03913809214795578
2021-02-07,0.060080647648419375
2021-02-08,0.04357120253164539
2021-02-09,0.045905483028720426
2021-02-10,0.04215984072809999
2021-02-11,0.029115533472803243
2021-02-12,0.013771482889733866
2021-02-13,0.02110985048372915
2021-02-14,0.03395065420560746
2021-02-15,0.03105490822027132
2021-02-16,0.02726513899323818
2021-02-17,0.04287562656641589
2021-02-18,0.02252598870056497
2021-02-19,0.052089494680850945
2021-02-20,0.02091062553556126
2021-02-21,0.0034778142974527877
2021-02-22,-0.01853847607052896
2021-02-23,0.005896807359307383
2021-02-24,0.04445670800450943
2021-02-25,0.073193488372093
