day,average_compound
2020-07-26,-0.013529681565877996
2020-07-27,0.014422548690396149
2020-07-28,0.008674739263803624
2020-07-29,-0.0032411287988422595
2020-07-30,-0.044068269370021645
2020-07-31,-0.0074490223904133245
2020-08-01,-0.011026483412322303
2020-08-02,-0.004960378169316784
2020-08-03,-0.0024370530451866238
2020-08-04,-0.01013922932330842
2020-08-05,0.007019485011529593
2020-08-06,0.0062738785804359815
2020-08-07,0.006740573532261081
2020-08-08,0.0016040673211779643
2020-08-09,0.01563163170163161
2020-08-10,0.0030536898839137847
2020-08-11,0.01083794633851109
2020-08-12,0.011376532315764219
2020-08-13,-0.009094297889610404
2020-08-14,-0.0021524251069900396
2020-08-15,0.02225422513252248
2020-08-16,-0.0031678892484717463
2020-08-17,0.010319867041677288
2020-08-18,-0.007633241408570364
2020-08-19,0.021640172320947632
2020-08-20,0.002132210884353753
2020-08-21,0.02593066037735829
2020-08-22,0.009213666784078959
2020-08-23,-0.05803782101167309
2020-08-24,-0.006221756373937846
2020-08-25,-0.0007396578538103455
2020-08-26,0.01369937040923387
2020-08-27,0.017113748627881346
2020-08-28,0.00246602108359892
2020-08-29,-0.016080036496350515
2020-08-30,-0.041508800922367646
2020-08-31,-0.05337166618033268
2020-09-01,-0.03470274299344087
2020-09-02,-0.004640043604651159
2020-09-03,-0.018350968703427808
2020-09-04,0.002434308681672045
2020-09-05,0.005538660907127444
2020-09-06,0.0004936612021858079
2020-09-07,-0.021432218972001864
2020-09-08,-0.009859223602484467
2020-09-09,-0.050672398477157425
2020-09-10,-0.055052218430034355
2020-09-11,-0.04924459734964313
2020-09-12,-0.03232687096774219
2020-09-13,-0.03107362318840581
2020-09-14,-0.031248448275862165
2020-09-15,-0.0009133226324237599
2020-09-16,-0.011386829804784322
2020-09-17,-0.022641785559878967
2020-09-18,-0.01176394907908999
2020-09-19,-0.016960343901128393
2020-09-20,-0.039142472024415245
2020-09-21,-0.026600529100529367
2020-09-22,-0.06613885996876634
2020-09-23,-0.037449933739729734
2020-09-24,-0.009637433534207688
2020-09-25,-0.01776979495268143
2020-09-26,-0.0120479895104895
2020-09-27,-0.009687521764364465
2020-09-28,0.010497538925163252
2020-09-29,-0.013290349470984477
2020-09-30,-0.014446263854129579
2020-10-01,0.013106116088819638
2020-10-02,0.02529930447515328
2020-10-03,-0.005961490031479554
2020-10-04,-0.006512874092438456
2020-10-05,-0.01791123158187385
2020-10-06,-0.03315069234642507
2020-10-07,-0.003956728458633791
2020-10-08,-0.0030756565468429906
2020-10-09,-0.0012293726937269173
2020-10-10,-0.00294236252545821
2020-10-11,-0.008693897810219089
2020-10-12,-0.0027975752264095986
2020-10-13,-0.003020052700922384
2020-10-14,0.011717528223410566
2020-10-15,0.003764460046807094
2020-10-16,0.0020792226661823575
2020-10-17,0.011694237782640338
2020-10-18,0.01617369389256807
2020-10-19,0.004682460732984318
2020-10-20,0.0012838345864661755
2020-10-21,-0.01350206530840092
2020-10-22,0.00994061018957339
2020-10-23,0.00804338338808072
2020-10-24,-0.01506391726251284
2020-10-25,-0.03512180788754396
2020-10-26,-0.011940552995391736
2020-10-27,-0.005575415800415811
2020-10-28,0.011466054671562496
2020-10-29,0.010030821917808205
2020-10-30,-0.035922570216205416
2020-10-31,-0.01638356454267591
2020-11-01,-0.025574032807180628
2020-11-02,-0.011625296167247355
2020-11-03,-0.0009847770931496714
2020-11-04,-0.02122804878048791
2020-11-05,-0.014133021430727593
2020-11-06,-0.006014656290531749
2020-11-07,0.025382937004588955
2020-11-08,0.04167105633802803
2020-11-09,0.06369523731048132
2020-11-10,0.029720810089740368
2020-11-11,0.015750352889280884
2020-11-12,0.007546041308089507
2020-11-13,-0.006901153787763934
2020-11-14,0.030564221748400844
2020-11-15,-0.01610433579335804
2020-11-16,-0.006293973051711614
2020-11-17,0.01734639665335602
2020-11-18,0.012189075227599318
2020-11-19,-0.011365974665728444
2020-11-20,0.02347174063800274
2020-11-21,0.012794624999999893
2020-11-22,-0.0035872802481902925
2020-11-23,0.026704886943836454
2020-11-24,0.023017909300537837
2020-11-25,0.019918513655462038
2020-11-26,0.01550879718490078
2020-11-27,0.011526604729729752
2020-11-28,0.009466590126291629
2020-11-29,0.02212989002356631
2020-11-30,0.011512850031113797
2020-12-01,0.022042309606769214
2020-12-02,0.02106044018058682
2020-12-03,0.0258984394000809
2020-12-04,0.0032593481095176255
2020-12-05,0.007552582672861399
2020-12-06,-0.0009032711621234103
2020-12-07,0.006341106719367517
2020-12-08,-0.004086457760674444
2020-12-09,0.01832734177215182
2020-12-10,-0.0014748500428450834
2020-12-11,-0.00019827120475417168
2020-12-12,0.020328726222008237
2020-12-13,0.03670569035239734
2020-12-14,0.03288536414565827
2020-12-15,0.05573773307163857
2020-12-16,0.03783823823823803
2020-12-17,0.01569863526893227
2020-12-18,0.013942953667953608
2020-12-19,-0.008220358769931647
2020-12-20,-0.006243067033976287
2020-12-21,0.003278700451580553
2020-12-22,0.027492478760619585
2020-12-23,0.02253710395391442
2020-12-24,0.01941791559000854
2020-12-25,0.024319292851652595
2020-12-26,-0.00921248374512352
2020-12-27,-0.015945239051828104
2020-12-28,0.027592191876750445
2020-12-29,-0.0002658122205663014
2020-12-30,-0.05246382089552257
2020-12-31,0.003267304675243173
2021-01-01,-0.007989564867042673
2021-01-02,-0.02227404921700234
2021-01-03,-0.033448550368550475
2021-01-04,0.00885994344957588
2021-01-05,0.025990503548496018
2021-01-06,0.012582861124012896
2021-01-07,-0.008114569536423885
2021-01-08,0.002982983576642348
