day,average_pos_diff
2020-07-26,-0.0012722757814782528
2020-07-27,0.021364506380120902
2020-07-28,0.01332331288343553
2020-07-29,0.0015225759768451286
2020-07-30,-0.003765242577842157
2020-07-31,0.006792179123304943
2020-08-01,0.007587298578199039
2020-08-02,0.009178985818650584
2020-08-03,0.006098428290766208
2020-08-04,0.00010244360902255855
2020-08-05,0.019086279784780894
2020-08-06,0.016317059989191147
2020-08-07,0.008630110443712433
2020-08-08,0.00903319308087889
2020-08-09,0.01672983682983683
2020-08-10,0.017774253731343302
2020-08-11,0.011082711317329031
2020-08-12,0.01806296207965657
2020-08-13,-0.002253449675324673
2020-08-14,0.0035694246314788283
2020-08-15,0.022511693171188008
2020-08-16,0.013235886371808689
2020-08-17,0.020834824852978787
2020-08-18,0.016800593975392433
2020-08-19,0.022483037156704317
2020-08-20,0.022928231292516994
2020-08-21,0.023596698113207523
2020-08-22,0.009750616414230364
2020-08-23,-0.004570428015564207
2020-08-24,0.013643342776203953
2020-08-25,0.012932089165370673
2020-08-26,0.013120933892969564
2020-08-27,0.020697585071350142
2020-08-28,0.020276783525373893
2020-08-29,0.015637591240875878
2020-08-30,0.0019627209838585717
2020-08-31,-0.010137146192004653
2020-09-01,-0.008224209898628506
2020-09-02,0.005429990310077502
2020-09-03,0.004816443119721796
2020-09-04,0.015119292604501608
2020-09-05,0.024224622030237595
2020-09-06,0.015618032786885257
2020-09-07,0.004745089845382355
2020-09-08,0.003655900621118009
2020-09-09,-0.021810702199661622
2020-09-10,-0.033692345197464564
2020-09-11,-0.016455147808358828
2020-09-12,-0.005725806451612868
2020-09-13,-0.009993236714975838
2020-09-14,-0.00971465517241384
2020-09-15,0.012078009630818612
2020-09-16,-0.0017409953258180056
2020-09-17,-0.004669260700389101
2020-09-18,-0.0014179306608884097
2020-09-19,0.0010107469102633058
2020-09-20,-0.003553407934893183
2020-09-21,-0.002122826908541194
2020-09-22,-0.021270692347735556
2020-09-23,-0.0010596342433077115
2020-09-24,0.011217653314427502
2020-09-25,0.0067141167192429
2020-09-26,0.011121503496503522
2020-09-27,0.008905397562391181
2020-09-28,0.022016574585635343
2020-09-29,0.007053542802180183
2020-09-30,-0.0045541651769753265
2020-10-01,0.016874951305025296
2020-10-02,0.03417003752173529
2020-10-03,0.007968403870817323
2020-10-04,0.0008500088542588909
2020-10-05,-0.007141645815957742
2020-10-06,-0.016826032225579095
2020-10-07,-9.4576038448337e-05
2020-10-08,0.0015799962749115236
2020-10-09,0.0038787207872078696
2020-10-10,0.00487016293279022
2020-10-11,-0.004087007299270056
2020-10-12,0.012414548641542454
2020-10-13,0.0014358366271409737
2020-10-14,0.01954337492572789
2020-10-15,0.012467067870277498
2020-10-16,0.01231492916818016
2020-10-17,0.017590444930707543
2020-10-18,0.039657100809418686
2020-10-19,0.01810373036649211
2020-10-20,0.012710868079289141
2020-10-21,0.01199720904270165
2020-10-22,0.01944638625592418
2020-10-23,0.019876349131862966
2020-10-24,0.010460674157303364
2020-10-25,-0.010131198750488053
2020-10-26,0.005996846956099919
2020-10-27,0.004688149688149699
2020-10-28,0.016674418604651152
2020-10-29,0.018528665651953304
2020-10-30,-0.009949282683370402
2020-10-31,0.00524594403950153
2020-11-01,0.002900030950170229
2020-11-02,0.012975261324041792
2020-11-03,0.01493330916998913
2020-11-04,0.006718699186991877
2020-11-05,0.0011744642318140606
2020-11-06,0.017463035019455262
2020-11-07,0.03777200667501047
2020-11-08,0.04756654929577463
2020-11-09,0.07400148319050781
2020-11-10,0.0328995876788746
2020-11-11,0.019750992501102765
2020-11-12,0.0121561101549053
2020-11-13,-0.004028389251556091
2020-11-14,0.02762452025586353
2020-11-15,0.003933579335793357
2020-11-16,0.026760742898761892
2020-11-17,0.02982582239969574
2020-11-18,0.025184155885641372
2020-11-19,0.008293455313159741
2020-11-20,0.033782073509015215
2020-11-21,0.03154749999999998
2020-11-22,0.009179937952430165
2020-11-23,0.0388983710187211
2020-11-24,0.028480655905713578
2020-11-25,0.02958009453781503
2020-11-26,0.03553390914907239
2020-11-27,0.02550717905405405
2020-11-28,0.02343245311902028
2020-11-29,0.02520934799685779
2020-11-30,0.03102426882389542
2020-12-01,0.02210179193628665
2020-12-02,0.0377339164785553
2020-12-03,0.03738143494122417
2020-12-04,0.023009387222946546
2020-12-05,0.026376332331238136
2020-12-06,0.02786484935437591
2020-12-07,0.018786808300395322
2020-12-08,0.004034817665383923
2020-12-09,0.029568469505178403
2020-12-10,0.014392245072836358
2020-12-11,0.01789735278227982
2020-12-12,0.03911774620756101
2020-12-13,0.04367128827267476
2020-12-14,0.04504785247432314
2020-12-15,0.06189425907752703
2020-12-16,0.0404984984984985
2020-12-17,0.019766925341182785
2020-12-18,0.012152992277992263
2020-12-19,0.007849943052391796
2020-12-20,0.0013018059381695944
2020-12-21,0.010054691419969857
2020-12-22,0.022854572713643218
2020-12-23,0.01806650955747574
2020-12-24,0.02612144702842377
2020-12-25,0.0334381245196003
2020-12-26,-0.004498699609882966
2020-12-27,-0.004701486540779445
2020-12-28,0.02102556022408959
2020-12-29,0.009069448584202675
2020-12-30,-0.009245373134328355
2020-12-31,0.006390963288358966
2021-01-01,0.004541095890410946
2021-01-02,0.001833557046979871
2021-01-03,-0.0018810810810810745
2021-01-04,0.0220414703110273
2021-01-05,0.02343730990199392
2021-01-06,0.02203529958197865
2021-01-07,0.015532209512341973
2021-01-08,0.017431113138686134
2021-01-09,0.009054164239953411
2021-01-10,0.017136920980926396
2021-01-11,0.023689571150097455
2021-01-12,0.00010941558441558561
