day,polar,subj
2020-07-26,0.02998513342728944,0.24144173424848323
2020-07-27,0.03710576267609065,0.23646026752641935
2020-07-28,0.03523972852797609,0.2414992115395678
2020-07-29,0.02303115172534474,0.24990839623138875
2020-07-30,0.03439598578936002,0.25952632689272775
2020-07-31,0.03686959432857782,0.24632203634166772
2020-08-01,0.03361070894175143,0.24462760695509517
2020-08-02,0.03819153637589378,0.2482293854997449
2020-08-03,0.03567506394409619,0.24600451599444748
2020-08-04,0.03002636444330509,0.23742934693839302
2020-08-05,0.032542844824382855,0.23759526268846023
2020-08-06,0.03482163121845139,0.24277972199607945
2020-08-07,0.043288887289807385,0.242659923299698
2020-08-08,0.03357299332682097,0.24526103084468634
2020-08-09,0.04730281334826761,0.2512740511344833
2020-08-10,0.034457825560748286,0.24381279748443974
2020-08-11,0.035898776556306265,0.236084805723196
2020-08-12,0.04750836567152428,0.2623654607387917
2020-08-13,0.03236148123402428,0.25802099534605494
2020-08-14,0.044082803673536994,0.25267313998082624
2020-08-15,0.04787108439782273,0.24435435257036509
2020-08-16,0.03907323749372472,0.24314168591905952
2020-08-17,0.05028295951541274,0.24601994860992002
2020-08-18,0.03837953602577577,0.24030137557860917
2020-08-19,0.04860711969102514,0.25429806250636294
2020-08-20,0.04112653584762426,0.23077633801698488
2020-08-21,0.049336683990238495,0.2461748197675593
2020-08-22,0.050591788793179986,0.2430512693052322
2020-08-23,0.025353416975012307,0.24605736986508722
2020-08-24,0.04764686976935545,0.25291436658242655
2020-08-25,0.03883572134981535,0.22721712091285132
2020-08-26,0.02883785512586013,0.24372034281665103
2020-08-27,0.04009828731357266,0.23203837833914748
2020-08-28,0.042722349342384724,0.2331316423354921
2020-08-29,0.036765531575750555,0.24491244813918192
2020-08-30,0.03271180704597308,0.2495517778439574
2020-08-31,0.0273474016499986,0.23822360579363833
2020-09-01,0.021979431298368143,0.24134793406318875
2020-09-02,0.03484179447902793,0.24869004200248226
2020-09-03,0.03573557015214355,0.24955514322134423
2020-09-04,0.03323503284556343,0.24260916038528624
2020-09-05,0.04315116920516485,0.24168818686313337
2020-09-06,0.04869739369363683,0.2564239201903136
2020-09-07,0.02958954495806769,0.24517711063835199
2020-09-08,0.032482911206863065,0.2470276818347863
2020-09-09,0.020524751469389767,0.24203641848668825
2020-09-10,0.017889749147265762,0.23149298223611606
2020-09-11,0.015171061541952238,0.24610703488968666
2020-09-12,0.026708877562103325,0.24615461139815997
2020-09-13,0.01610229973998095,0.2483605149845088
2020-09-14,0.01708631680021765,0.24575786054755175
2020-09-15,0.04268698970906027,0.2476834095991403
2020-09-16,0.030012199769039197,0.2346691154826297
2020-09-17,0.027086873438445985,0.23981340600601334
2020-09-18,0.03807781140476829,0.24187534306084615
2020-09-19,0.03480579893865756,0.23875427212745873
2020-09-20,0.024526768832783527,0.24077911909263613
2020-09-21,0.021017339561840685,0.2281793929909007
2020-09-22,0.019269573115877108,0.24537114735790522
2020-09-23,0.01916975941326593,0.25874223096062465
2020-09-24,0.024398301202847413,0.23140619115251373
2020-09-25,0.03136762861072795,0.26248755573933036
2020-09-26,0.03214829583295493,0.2584341018910518
2020-09-27,0.03115234128256473,0.25069968746296345
2020-09-28,0.048183024457823506,0.2515151075764459
2020-09-29,0.03164823936705947,0.23878280844676342
2020-09-30,0.03019662087703734,0.2415886865918148
2020-10-01,0.04312003177751131,0.25184235877311484
2020-10-02,0.037909391875542105,0.23492478084131646
2020-10-03,0.018513940394842547,0.2412061951506108
2020-10-04,0.015696748031726753,0.24970170355341692
2020-10-05,0.009764070008544555,0.24968356492082897
2020-10-06,0.019821997579739146,0.2496719844543675
2020-10-07,0.02736960720729587,0.25104664741004035
2020-10-08,0.031050000857809443,0.22687805699109134
2020-10-09,0.03229362587096283,0.24224320057192134
2020-10-10,0.029127214187995628,0.24529376004761055
2020-10-11,0.028554909891406233,0.24192878050578895
2020-10-12,0.03135942908488922,0.24203318022230574
2020-10-13,0.03101521797750382,0.23782411415135465
2020-10-14,0.036966235244421455,0.24311290876631833
2020-10-15,0.029287907312606342,0.24617063381502546
2020-10-16,0.03276718360240877,0.2335155460920538
2020-10-17,0.046302261329385634,0.25183545132738294
2020-10-18,0.06154275462498418,0.24833669175372652
2020-10-19,0.04439676395357834,0.2506202423216087
2020-10-20,0.027109793805154367,0.2360221763976893
2020-10-21,0.0409147104639708,0.2252015809363008
2020-10-22,0.04209709861294572,0.2522976414917694
2020-10-23,0.04126654629804547,0.23607631642433405
2020-10-24,0.029854454925158383,0.24491335831558667
2020-10-25,0.02131987108351323,0.23653731228079655
2020-10-26,0.028214182849157318,0.2300308236422719
2020-10-27,0.033271444521444454,0.22751927553610252
2020-10-28,0.03236326244588172,0.2559502251124299
2020-10-29,0.047821358989864664,0.24488499870269945
2020-10-30,0.026856108304633277,0.24672572935416523
2020-10-31,0.02940242682442303,0.2508040506445163
2020-11-01,0.03494515779450774,0.23781911401785322
2020-11-02,0.054901681909521494,0.24687585578700635
2020-11-03,0.06063887779658899,0.2720080175385538
2020-11-04,0.07805865004086535,0.2955864459426449
2020-11-05,0.07491893606834729,0.2663049232114666
2020-11-06,0.05736830264837708,0.25682967673929086
2020-11-07,0.07021302068001072,0.2616680744856598
2020-11-08,0.07610322985895154,0.2421707800952961
2020-11-09,0.07683873026098631,0.25859834809911125
2020-11-10,0.04776802650799112,0.2532357812932034
2020-11-11,0.046244827640256274,0.24548365733398314
2020-11-12,0.046428636532874684,0.24961403831315634
2020-11-13,0.03033827730178468,0.24983802010181763
