day,sad,angry,surprise,fear,happy
2020-07-26,0.17799298860648566,0.0369471224072451,0.2097370727432081,0.22828805141688602,0.1084312007011392
2020-07-27,0.15868703828072592,0.03782068502350578,0.18847716588314326,0.2505255204835462,0.10485728676964426
2020-07-28,0.1610061349693259,0.03700460122699392,0.19296932515337445,0.25245398773006134,0.09715644171779142
2020-07-29,0.16814905933429872,0.03952243125904487,0.19149493487699007,0.25169175108538333,0.09534153400868316
2020-07-30,0.16923823316437417,0.039769732078204244,0.20150181028240396,0.22577118030412735,0.10128457639391755
2020-07-31,0.15433617155471516,0.042746767581204714,0.19225165562913915,0.24219962157048242,0.10328760643330183
2020-08-01,0.15694976303317595,0.0443184834123223,0.19128530805687258,0.24939146919431326,0.10301421800947853
2020-08-02,0.16182853459389834,0.044028792436613715,0.18907821229050323,0.24057155135367486,0.10019338203695724
2020-08-03,0.16539489194499044,0.038534381139489225,0.19210019646365448,0.25199607072691566,0.09675638506876218
2020-08-04,0.18352067669172986,0.04194736842105267,0.1943458646616548,0.23807894736842156,0.09301879699248097
2020-08-05,0.17087624903920115,0.0457340507302076,0.20105303612605727,0.23624519600307467,0.09492121445042258
2020-08-06,0.164033507476131,0.04291298865069363,0.1984723473248066,0.23820572869753193,0.09506215096379005
2020-08-07,0.16447393915907804,0.03645805076535558,0.1792753342375515,0.2395233481883357,0.11204223987599304
2020-08-08,0.16278634876110357,0.04812996727442735,0.1917064048620855,0.24468209443665281,0.09841514726507702
2020-08-09,0.15796969696969734,0.04330303030303032,0.1938228438228443,0.25211188811188845,0.10876923076923056
2020-08-10,0.1665796019900502,0.039734660033167536,0.1879643449419572,0.24660447761194057,0.10041459369817565
2020-08-11,0.15871293120839264,0.0434274762961469,0.19376437361307317,0.2474863828928791,0.1047528747226143
2020-08-12,0.1697138087288341,0.0504197471977105,0.17837586453613175,0.24900548533269776,0.10811352253756239
2020-08-13,0.16230316558441593,0.04245129870129873,0.18425527597402627,0.2530925324675328,0.10751826298701295
2020-08-14,0.1593651925820258,0.04675939134569671,0.19660247265810796,0.2334070375653832,0.10782691393247723
2020-08-15,0.15446523230433404,0.0440848144683505,0.20969753663860338,0.24024009978172764,0.10135640785781098
