index,name,full_name,place_type,count
508b1b8fdefc0c41,Briarwood,"Briarwood, Queens",neighborhood,1
0fc29938c1941000,CVS pharmacy,CVS pharmacy,poi,1
07d9dbe218882007,Boys And Girls Club,Boys And Girls Club,poi,1
07d9eceb3ec88002,Naples Community Hospital,Naples Community Hospital,poi,1
07d9f671ff883001,Dow Bay Area Family Y,Dow Bay Area Family Y,poi,1
781b7d888ec46c8d,Marshall,"Marshall, MI",city,1
11dca9249d150000,Papa John's Pizza,Papa John's Pizza,poi,1
39c4e8472961fe45,Estacada,"Estacada, OR",city,1
00f9969a522fd20b,Moorefield Station,"Moorefield Station, VA",city,1
0f4a3ab6ee146000,Pilot Project Brewing,Pilot Project Brewing,poi,1
07d9cf4eb9882001,Alpha Company Trailor #1,Alpha Company Trailor #1,poi,1
5a578920c1527aba,Parker,"Parker, FL",city,1
0fc34e3abf95e000,TOGO'S Sandwiches,TOGO'S Sandwiches,poi,1
11046af8f2d4f000,The STEM Academy @ Bartlett,The STEM Academy @ Bartlett,poi,1
07d9e440e3c87001,Mercer County Board of Social Services,Mercer County Board of Social Services,poi,1
3f917e0895a0f117,Highland Beach,"Highland Beach, MD",city,1
07d9ca7ea6082000,WTVC- TV NewsChannel 9,WTVC- TV NewsChannel 9,poi,1
07d9dc9a89c81002,"Woodstock, CT","Woodstock, CT",poi,1
014cf85423a61dd9,Stafford,"Stafford, OR",city,1
0fc3a3956bd4c001,Being-Fit Fitness,Being-Fit Fitness,poi,1
0b5f4bfd71d71000,"Poop, There It Is","Poop, There It Is",poi,1
e3381ec8a24ac0af,Gold Bar,"Gold Bar, WA",city,1
07d9d8d750487001,Shadow Hill Park,Shadow Hill Park,poi,1
6f17a89277fe75e0,Boonsboro,"Boonsboro, MD",city,1
a1da4b402eb84bf5,Hyrum,"Hyrum, UT",city,1
0fc3b669f315e000,Sunnylands Center and Gardens,Sunnylands Center and Gardens,poi,1
fa6139abf65c7f3e,Vinton,"Vinton, LA",city,1
07d9d24ff8480002,Fair Oaks Library,Fair Oaks Library,poi,1
07d9d27d28883000,Speedway,Speedway,poi,1
07d9c9557ac82001,Southeastern University,Southeastern University,poi,1
21c1bf3cf370df2c,Woodside,"Woodside, Queens",neighborhood,1
07d9db056ec85001,Long Center,Long Center,poi,1
11db9ad9f554f000,Barnes & Noble,Barnes & Noble,poi,1
0fbeae4dfe155001,Apple The Grove,Apple The Grove,poi,1
07d9ca5dfa884001,Germantown Recreation Center,Germantown Recreation Center,poi,1
56e9340ed70a9104,Roslyn Harbor,"Roslyn Harbor, NY",city,1
07d9ecb7d4c82000,Cooper Science Complex,Cooper Science Complex,poi,1
0fc2b6d1ce142000,Shell,Shell,poi,1
10c20f7cca56a000,Shore Stop,Shore Stop,poi,1
0fc2ec4e8b955005,Camp Atterbury,Camp Atterbury,poi,1
11db6ca60bd4f001,Methuen High School,Methuen High School,poi,1
10a0041e4054c000,Plymouth County Sheriff's Department,Plymouth County Sheriff's Department,poi,1
07d9c94582882000,780 Third Ave,780 Third Ave,poi,1
07d9d4dcc8485000,Kennedy Gymnasium,Kennedy Gymnasium,poi,1
07d9dbb0b3488000,Scott Johnson Middle School,Scott Johnson Middle School,poi,1
11db9ade63146000,Our Lady of Angels R.C. Church,Our Lady of Angels R.C. Church,poi,1
34c94b3cf961f321,Delano,"Delano, MN",city,1
07d9f0a783084000,Downtown Hollywood,Downtown Hollywood,poi,1
7a2846020c8ed8dc,Lover Lane Village,"Lover Lane Village, Dallas",neighborhood,1
0fc27c96a294f000,Momentum Fitness,Momentum Fitness,poi,1
0fc2f62b0694d000,Country Cottage Diner,Country Cottage Diner,poi,1
07d9c94f7ec80003,Appleton North High School,Appleton North High School,poi,1
07d9e59131485001,The Embarcadero,The Embarcadero,poi,1
6e23522ad2747dc8,Rapid Valley,"Rapid Valley, SD",city,1
07d9d35d53c82004,Foggy Noggin Brewing,Foggy Noggin Brewing,poi,1
00d6437870509ca6,Ball,"Ball, LA",city,1
4c177f55f77521c4,Ozona,"Ozona, TX",city,1
07d9d36c90c85002,Somewhere,Somewhere,poi,1
07d9e5d238c88000,Lucas Crossing Elementary School,Lucas Crossing Elementary School,poi,1
76cf1b309b89e3bb,Mann,"Mann, Seattle",neighborhood,1
07d9d288bd885005,The Promenade,The Promenade,poi,1
0fc3539c8c546000,Gate A31,Gate A31,poi,1
07d9db87f6c88004,Inn At The Shore,Inn At The Shore,poi,1
32df4f4db9dabf46,St James,"St James, MO",city,1
0137489a3d43aa38,Thermal,"Thermal, CA",city,1
d6e19a9b56843775,Lakesite,"Lakesite, TN",city,1
07d9f79be6083001,UCCS University Hall,UCCS University Hall,poi,1
1022646e8054d000,Department of health and human services,Department of health and human services,poi,1
07d9ecb319883000,US Post Office,US Post Office,poi,1
0fc348d6c4146000,Boston Marathon Start Line,Boston Marathon Start Line,poi,1
011696935f2b49fe,Stiles,"Stiles, PA",city,1
07d9ec96d2c87000,University of South Alabama,University of South Alabama,poi,1
0124d6b46973cc88,Mercer,"Mercer, PA",city,1
526335a4a238c0c5,Dillsburg,"Dillsburg, PA",city,1
656fa71d2d1e5a41,Indian Shores,"Indian Shores, FL",city,1
0085934e45ea7186,Mohave Valley,"Mohave Valley, AZ",city,1
00191f5f7adb91d7,Wallace,"Wallace, ID",city,1
0fc3459b8854c000,Laughlin/Bullhead International Airport (IFP),Laughlin/Bullhead International Airport (IFP),poi,1
008b29a90cd4f2ad,Grantville,"Grantville, GA",city,1
07d9f36992882001,Loyola University Medical Center - Emergency Room,Loyola University Medical Center - Emergency Room,poi,1
0c597559a655d000,The Van Buren,The Van Buren,poi,1
15c127e5cf660d95,Southwest,"Southwest, FL",neighborhood,1
07d9ed3d9f082000,UT Southwestern / Simmons Comprehensive Cancer Center,UT Southwestern / Simmons Comprehensive Cancer Center,poi,1
07d9c9b190c84002,Kmart,Kmart,poi,1
07d9e39903882005,Caesars Atlantic City Hotel and Casino,Caesars Atlantic City Hotel and Casino,poi,1
07d9e44376080001,Seneca Valley School District,Seneca Valley School District,poi,1
11a5b23f91143000,Community Heart and Vascular Hospital,Community Heart and Vascular Hospital,poi,1
07d9dfd740882000,Len B. Jordan Building,Len B. Jordan Building,poi,1
0fc26b729cd46000,Betsy's Barn,Betsy's Barn,poi,1
0fc269781cd4c000,Phoenix Goodyear Airport,Phoenix Goodyear Airport,poi,1
0010f0c96badad87,Russell,"Russell, GA",city,1
0fc2ea51dad42002,Courtyard by Marriott Phoenix Camelback,Courtyard by Marriott Phoenix Camelback,poi,1
07d9e185d6c85000,The NEW Aliveness Project,The NEW Aliveness Project,poi,1
49561f73558c3019,Buena Vista,"Buena Vista, CA",city,1
20fd75798dd07dab,Cuevas,"Cuevas, Puerto Rico",city,1
07d9e5d69d486002,Center for the Jewish Future,Center for the Jewish Future,poi,1
07d9c947dbc83000,Costa Mesa City Hall,Costa Mesa City Hall,poi,1
0fc34689b4d47005,Krispy Kreme,Krispy Kreme,poi,1
11db6b53d355a000,Northwestern University,Northwestern University,poi,1
0fc3028495d42000,"Wilmington, DE","Wilmington, DE",poi,1
07d9dafef8086000,Irish Pub,Irish Pub,poi,1
69d463710b2e3899,Greenville,"Greenville, AL",city,1
07d9ec9478887002,Mile Square Regional Park,Mile Square Regional Park,poi,1
109e52178056b000,The Julia Apartments,The Julia Apartments,poi,1
07d9d2aa56c84000,KRDO-TV,KRDO-TV,poi,1
07d9f5cdfcc85001,Austin Peay State University,Austin Peay State University,poi,1
0ff5ba3cf9150006,Flagler Beach,Flagler Beach,poi,1
0041fc436af61acd,Ravensdale,"Ravensdale, WA",city,1
06520802343de366,King William,"King William, San Antonio",neighborhood,1
0fc3752e1915e003,Cafe Boulis,Cafe Boulis,poi,1
07d9db7626c87003,Robeson Community College,Robeson Community College,poi,1
07d9d223ba886003,Playboy Mansion,Playboy Mansion,poi,1
