location_id,count,name,full_name,place_type,lng,lat
3b77caf94bfc81fe,20207,Los Angeles,"Los Angeles, CA",city,-118.28758739336637,34.0207895
01a9a39529b27f36,18986,Manhattan,"Manhattan, NY",city,-73.95116849700453,40.788621
4ec01c9dbc693497,12544,Florida,"Florida, USA",admin,-81.55786832659686,27.698682
01fbe706f872cb32,11798,Washington,"Washington, DC",city,-77.03479315641596,38.92824635
1d9a5370a355ab0c,11462,Chicago,"Chicago, IL",city,-87.67181069718896,41.83358445
1c69a67ad480e1b1,9499,Houston,"Houston, TX",city,-95.47080955316233,29.8384948
011add077f4d2da3,9389,Brooklyn,"Brooklyn, NY",city,-73.93950002939275,40.655138
dd9c503d6c35364b,8675,Pennsylvania,"Pennsylvania, USA",admin,-77.73869744319082,41.1179365
7142eb97ae21e839,8412,Georgia,"Georgia, USA",admin,-83.25149607323723,32.6782075
e4a0d228eb6be76b,6918,Philadelphia,"Philadelphia, PA",city,-75.13853268641685,40.0048655
e0060cda70f5f341,6783,Texas,"Texas, USA",admin,-99.68325796647969,31.1688935
5a110d312052166f,6718,San Francisco,"San Francisco, CA",city,-122.4461400159226,37.759829
300bcc6e23a88361,6347,Seattle,"Seattle, WA",city,-122.30843041256767,47.614817200000005
00c39537733fa112,6282,Queens,"Queens, NY",city,-73.82392802812883,40.70978505
5c62ffb0f0f3479d,5934,Phoenix,"Phoenix, AZ",city,-112.07354285008624,33.5528626
c3f37afa9efcf94b,5541,Austin,"Austin, TX",city,-97.71630992597376,30.3233457
94965b2c45386f87,5186,New York,"New York, USA",admin,-76.2146236146748,42.746617
fbd6d2f5a4e4a15e,5178,California,"California, USA",admin,-120.02487379467529,37.2691755
a592bd6ceb1319f7,5164,San Diego,"San Diego, CA",city,-117.1847000765862,32.87158485
3b98b02fba3f9753,4975,North Carolina,"North Carolina, USA",admin,-78.57673379465703,35.1704985
18810aa5b43e76c7,4562,Dallas,"Dallas, TX",city,-96.7301749064317,32.819858499999995
8173485c72e78ca5,4551,Atlanta,"Atlanta, GA",city,-84.41728445970367,33.7671944
5635c19c2b5078d1,4503,Virginia,"Virginia, USA",admin,-78.22539324297666,38.0033755
3df4f427b5a60fea,4286,San Antonio,"San Antonio, TX",city,-98.67108628652768,29.4770355
67b98f17fdcf20be,4002,Boston,"Boston, MA",city,-71.08847483647914,42.3114165
512a8a4a4c4b4be0,3810,Charlotte,"Charlotte, NC",city,-80.8194206369208,35.209059
3df0e3eb1e91170b,3776,Columbus,"Columbus, OH",city,-82.95267738609633,39.9946835
6057f1e35bcc6c20,3647,South Carolina,"South Carolina, USA",admin,-80.53104992297195,33.6311395
00ab941b685334e3,3570,Nashville,"Nashville, TN",city,-86.75148877852996,36.15636005
